Resumen de canciones
==================================================================================================================================
Tema                                    Autor                         Duracion            Danceability        Generos             
Thong_Song                              Sisqo                         4.23                70.60               hiphop-pop-R&B      
The_Real_Slim_Shady                     Eminem                        4.74                94.90               hiphop              
Rock_DJ                                 Robbie_Williams               4.31                70.80               pop-rock            
Say_My_Name                             Destiny's_Child               4.52                71.30               pop-R&B             
Lady                                    Modjo                         5.12                72.00               Dance/Electronic    
L'Amour_Toujours                        Gigi_D'Agostino               3.98                61.70               pop                 
Move_Your_Body                          Eiffel_65                     4.48                74.50               pop                 
Freestyler                              Bomfunk_MC's                  5.11                82.20               pop                 
Desert_Rose                             Sting                         4.77                58.60               rock-pop            
Never_Be_The_Same_Again                 Melanie_C                     4.90                68.90               pop-Dance/Electronic
Try_Again                               Aaliyah                       4.73                79.70               hiphop-pop-R&B      
I'm_Outta_Love                          Anastacia                     4.09                76.10               pop                 
Better_Off_Alone                        Alice_Deejay                  3.58                67.10               pop                 
The_Riddle                              Gigi_D'Agostino               4.76                74.00               pop                 
The_Next_Episode                        Dr._Dre                       2.69                92.20               hiphop              
In_the_End                              Linkin_Park                   3.61                55.60               rock-metal          
Sexbomb                                 Tom_Jones                     3.53                80.10               rock-Folk/Acoustic-easy_listening
It_Feels_So_Good                        Sonique                       4.01                63.40               pop                 
Cold_as_Ice                             M.O.P.                        4.07                65.60               hiphop              
I_Turn_To_You                           Melanie_C                     5.87                52.20               pop-Dance/Electronic
Take_A_Look_Around                      Limp_Bizkit                   5.35                42.50               metal               
Sandstorm                               Darude                        3.76                52.80               pop-Dance/Electronic
What'chu_Like                           Da_Brat                       3.69                87.90               hiphop-pop-R&B      
The_Time_Is_Now                         Moloko                        5.30                68.20               pop-Dance/Electronic
Don't_Give_Up                           Chicane                       3.51                64.40               Dance/Electronic    
Party_Up                                DMX                           4.48                51.00               hiphop-pop          
Dance_with_Me                           Debelah_Morgan                3.67                85.00               pop-R&B             
Oops!...I_Did_It_Again                  Britney_Spears                3.52                75.10               pop                 
All_The_Small_Things                    blink_182                     2.78                43.40               rock-pop            
Breathe                                 Faith_Hill                    4.18                52.90               pop-country         
It's_My_Life                            Bon_Jovi                      3.74                55.10               rock-metal          
Bye_Bye_Bye                             *NSYNC                        3.34                61.40               pop                 
Music                                   Madonna                       3.77                73.60               pop                 
No_More                                 Ruff_Endz                     4.04                83.90               R&B                 
Born_to_Make_You_Happy                  Britney_Spears                4.06                63.30               pop                 
Get_It_On_Tonite                        Montell_Jordan                4.60                81.30               hiphop-pop-R&B      
Spinning_Around                         Kylie_Minogue                 3.46                76.10               pop-Dance/Electronic
Big_Pimpin'                             JAY                           4.72                88.00               hiphop              
I_Need_You                              LeAnn_Rimes                   3.83                47.80               pop-country         
Separated                               Avant                         4.26                79.80               pop-R&B             
Be_With_You                             Enrique_Iglesias              3.66                68.30               pop-latin           
He_Wasn't_Man_Enough                    Toni_Braxton                  4.37                73.90               pop-R&B             
Bounce_With_Me                          Bow_Wow                       2.93                85.20               hiphop-pop-R&B      
Forgot_About_Dre                        Dr._Dre                       3.70                92.40               hiphop              
Hot_Boyz                                Missy_Elliott                 3.59                72.70               hiphop-pop-R&B      
Show_Me_the_Meaning_of_Being_Lonely     Backstreet_Boys               3.92                63.00               pop                 
Gotta_Tell_You                          Samantha_Mumba                3.37                72.90               pop                 
Case_Of_The_Ex                          Mya                           3.95                77.20               pop-R&B             
Shackles                                Mary_Mary                     3.31                77.90               R&B                 
Wifey                                   Next                          4.06                82.90               hiphop-pop-R&B      
Doesn't_Really_Matter                   Janet_Jackson                 4.42                77.10               pop-R&B             
She_Bangs                               Ricky_Martin                  4.68                63.00               pop-latin           
He_Can't_Love_U                         Jagged_Edge                   4.07                72.10               hiphop-pop-R&B      
Incomplete                              Sisqo                         4.57                74.60               hiphop-pop-R&B      
I_Just_Wanna_Love_U                     JAY                           3.80                80.00               hiphop              
Thank_God_I_Found_You                   Mariah_Carey                  4.29                34.80               pop-R&B             
Who_Let_The_Dogs_Out                    Baha_Men                      3.31                86.90               R&B                 
U_Know_What's_Up                        Donell_Jones                  4.06                85.40               pop-R&B             
Can't_Fight_The_Moonlight               LeAnn_Rimes                   3.59                62.80               pop-country         
Go_Let_It_Out                           Oasis                         4.64                40.80               Folk/Acoustic-rock  
Hey_Baby                                DJ_Atzi                       3.65                66.60               pop-easy_listening-Dance/Electronic
Most_Girls                              P!nk                          4.98                74.20               pop                 
Against_All_Odds                        Mariah_Carey                  3.32                47.10               pop-R&B             
Fill_Me_In                              Craig_David                   4.29                68.20               hiphop-pop-R&B      
I_Turn_to_You                           Christina_Aguilera            4.56                59.90               pop                 
American_Pie                            Madonna                       4.56                63.10               pop                 
Otherside                               Red_Hot_Chili_Peppers         4.26                45.80               rock                
I_Like_It                               Sammie                        4.18                82.60               hiphop-pop-R&B      
7_Days                                  Craig_David                   3.92                65.90               hiphop-pop-R&B      
Maria_Maria                             Santana                       4.37                77.70               rock-blues-latin    
Don't_Think_I'm_Not                     Kandi                         4.06                85.90               pop-R&B             
There_You_Go                            P!nk                          3.38                82.20               pop                 
Shalala_Lala                            Vengaboys                     3.58                75.10               pop                 
Life_Is_A_Rollercoaster                 Ronan_Keating                 3.91                65.50               pop-rock            
Don't_Call_Me_Baby                      Madison_Avenue                3.80                80.80               Dance/Electronic    
Jumpin                                  Destiny's_Child               3.84                77.10               pop-R&B             
That's_the_Way_It_Is                    Celine_Dion                   4.02                63.40               pop                 
Kryptonite                              3_Doors_Down                  3.90                54.50               pop-rock-metal      
I_Wish                                  Carl_Thomas                   3.78                73.60               pop-R&B             
Shake_Ya_Ass                            Mystikal                      4.28                91.40               hiphop-pop          
Hemorrhage                              Fuel                          3.95                31.30               rock-pop-metal      
Where_I_Wanna_Be                        Donell_Jones                  4.23                66.40               pop-R&B             
Crash_and_Burn                          Savage_Garden                 4.69                58.10               pop                 
My_Love                                 Westlife                      3.86                49.10               pop                 
Pure_Shores                             All_Saints                    4.48                63.10               pop                 
Independent_Women                       Destiny's_Child               3.69                73.00               pop-R&B             
It's_Gonna_Be_Me                        *NSYNC                        3.18                64.40               pop                 
Bag_Lady                                Erykah_Badu                   5.81                72.40               hiphop-R&B          
You_Sang_To_Me                          Marc_Anthony                  5.79                57.80               pop-latin           
Bent                                    Matchbox_Twenty               4.27                51.80               pop-rock            
Rise                                    Gabrielle                     3.65                55.80               pop-R&B             
Shape_of_My_Heart                       Backstreet_Boys               3.83                57.50               pop                 
With_Arms_Wide_Open                     Creed                         4.58                41.00               pop-rock-metal      
Breathless                              The_Corrs                     3.46                60.70               pop-Folk/Acoustic   
I_Wanna_Know                            Joe                           4.94                72.50               pop-R&B             
Teenage_Dirtbag                         Wheatus                       4.03                62.50               pop                 
Come_on_over_Baby                       Christina_Aguilera            3.39                82.90               pop                 
Higher                                  Creed                         5.28                45.90               pop-rock-metal      
Lucky                                   Britney_Spears                3.44                76.50               pop                 
Country_Grammar                         Nelly                         4.78                86.50               hiphop-pop-R&B      
It_Wasn't_Me                            Shaggy                        3.79                85.30               hiphop-pop          
Survivor                                Destiny's_Child               4.23                51.40               pop-R&B             
Stan                                    Eminem                        6.74                78.00               hiphop              
Can't_Get_You_out_of_My_Head            Kylie_Minogue                 3.84                76.60               pop-Dance/Electronic
Lady_Marmalade                          Christina_Aguilera            4.41                76.00               pop                 
I'm_Like_A_Bird                         Nelly_Furtado                 4.05                62.20               hiphop-pop-latin    
